Departure,Arrival,Time,Date,Terminal
CityB,CityI,01:26,2023-10-20,2
CityB,CityF,05:58,2023-10-20,2
CityC,CityH,10:20,2023-10-21,2
CityE,CityI,09:21,2023-10-21,1
CityA,CityF,12:25,2023-10-21,2
CityB,CityG,17:02,2023-10-21,1
CityC,CityF,14:14,2023-10-21,1
CityC,CityI,09:32,2023-10-21,2
CityB,CityJ,10:22,2023-10-21,1
CityC,CityJ,12:33,2023-10-21,1
CityD,CityF,10:17,2023-10-21,3
CityB,CityJ,22:13,2023-10-21,2
CityE,CityF,16:46,2023-10-21,2
CityA,CityH,19:44,2023-10-21,3
CityA,CityH,14:15,2023-10-21,1
CityE,CityH,09:07,2023-10-22,2
CityA,CityJ,16:35,2023-10-22,3
CityB,CityG,07:31,2023-10-22,3
CityC,CityG,09:38,2023-10-22,2
CityC,CityF,21:43,2023-10-22,3
CityE,CityF,02:32,2023-10-22,1
CityA,CityF,14:06,2023-10-22,3
CityD,CityH,03:50,2023-10-22,2
CityC,CityH,19:30,2023-10-22,2
CityE,CityJ,01:05,2023-10-22,1
CityE,CityI,02:52,2023-10-22,1
CityE,CityH,12:38,2023-10-23,1
CityE,CityJ,12:48,2023-10-23,1
CityE,CityJ,13:15,2023-10-23,2
CityC,CityH,23:40,2023-10-23,3
CityA,CityG,11:57,2023-10-23,1
CityC,CityH,04:35,2023-10-24,1
CityB,CityH,14:00,2023-10-24,1
CityA,CityG,17:16,2023-10-24,2
CityE,CityG,08:32,2023-10-24,3
CityE,CityH,05:42,2023-10-24,1
CityA,CityI,17:45,2023-10-24,2
CityE,CityJ,21:55,2023-10-25,2
CityB,CityF,14:23,2023-10-25,3
CityE,CityI,22:51,2023-10-25,3
CityC,CityI,05:36,2023-10-25,2
CityA,CityI,17:30,2023-10-25,3
CityB,CityG,20:30,2023-10-25,2
CityA,CityJ,17:55,2023-10-25,2
CityB,CityJ,11:14,2023-10-26,2
CityA,CityI,23:28,2023-10-26,3
CityD,CityJ,09:53,2023-10-26,3
CityB,CityJ,15:24,2023-10-26,3
CityB,CityH,06:06,2023-10-26,2
CityA,CityF,03:35,2023-10-26,2
CityE,CityF,18:20,2023-10-26,2
CityD,CityF,16:38,2023-10-27,3
CityC,CityH,11:38,2023-10-27,3
CityE,CityF,07:51,2023-10-27,3
CityE,CityI,08:06,2023-10-27,1
CityA,CityF,07:01,2023-10-27,2
CityC,CityJ,16:47,2023-10-27,1
CityE,CityH,20:16,2023-10-28,2
CityB,CityI,12:56,2023-10-28,2
CityD,CityG,09:48,2023-10-28,2
CityA,CityI,14:24,2023-10-28,2
CityE,CityH,09:28,2023-10-28,2
CityE,CityH,04:45,2023-10-28,1
CityE,CityH,05:21,2023-10-28,1
CityC,CityG,06:07,2023-10-28,1
CityE,CityI,03:34,2023-10-28,3
CityD,CityH,05:42,2023-10-28,3
CityC,CityG,22:04,2023-10-28,2
CityC,CityG,17:11,2023-10-28,2
CityA,CityG,14:55,2023-10-28,2
CityB,CityJ,09:36,2023-10-28,1
CityD,CityG,20:29,2023-10-29,2
CityB,CityG,03:34,2023-10-29,2
CityD,CityJ,14:08,2023-10-29,3
CityB,CityF,09:29,2023-10-29,2
CityC,CityH,23:43,2023-10-29,2
CityE,CityJ,08:24,2023-10-29,1
CityC,CityG,15:45,2023-10-29,3
CityC,CityJ,00:18,2023-10-29,3
CityA,CityH,02:31,2023-10-29,3
CityC,CityI,19:30,2023-10-29,2
CityB,CityG,23:37,2023-10-29,1
CityE,CityI,19:57,2023-10-29,3
CityC,CityG,18:28,2023-10-30,3
CityD,CityJ,23:05,2023-10-30,1
CityE,CityJ,14:41,2023-10-30,1
CityC,CityJ,11:12,2023-10-30,2
CityA,CityI,13:12,2023-10-30,1
CityA,CityH,19:43,2023-10-30,3
CityD,CityI,08:04,2023-10-30,2
CityD,CityH,10:32,2023-10-30,1
CityC,CityI,13:00,2023-10-30,1
CityB,CityH,10:04,2023-10-30,2
CityB,CityJ,13:14,2023-10-30,1
CityB,CityH,23:24,2023-10-30,1
CityD,CityF,22:55,2023-10-31,2
CityA,CityI,12:41,2023-10-31,1
CityA,CityF,07:44,2023-10-31,3
CityA,CityH,06:58,2023-10-31,2
CityE,CityG,11:38,2023-10-31,1
CityC,CityF,19:39,2023-10-31,1
CityC,CityG,07:20,2023-10-31,2
CityD,CityF,11:12,2023-10-31,2
CityE,CityH,14:37,2023-10-31,1
CityD,CityJ,11:11,2023-11-01,1
CityD,CityI,11:01,2023-11-01,1
CityE,CityF,21:29,2023-11-01,1
CityE,CityG,18:43,2023-11-01,2
CityA,CityJ,16:24,2023-11-01,3
CityC,CityG,15:40,2023-11-01,3
CityE,CityI,03:49,2023-11-01,3
CityA,CityI,21:52,2023-11-01,1
CityE,CityF,21:08,2023-11-01,1
CityE,CityG,16:53,2023-11-01,3
CityD,CityH,01:41,2023-11-01,3
CityC,CityH,08:26,2023-11-01,3
CityA,CityI,08:19,2023-11-01,3
CityC,CityJ,04:34,2023-11-01,3
CityA,CityH,12:14,2023-11-01,1
CityA,CityF,20:58,2023-11-02,1
CityD,CityF,05:26,2023-11-02,3
CityE,CityI,18:18,2023-11-02,3
CityD,CityG,02:16,2023-11-02,3
CityE,CityJ,04:10,2023-11-02,1
CityB,CityF,08:16,2023-11-02,3
CityD,CityH,00:33,2023-11-02,2
CityE,CityH,21:47,2023-11-03,3
CityA,CityI,05:44,2023-11-03,2
CityB,CityF,14:29,2023-11-03,2
CityE,CityH,13:36,2023-11-03,2
CityD,CityF,16:44,2023-11-03,1
CityE,CityI,04:00,2023-11-03,2
CityC,CityI,17:11,2023-11-03,2
CityD,CityJ,13:48,2023-11-03,3
CityB,CityH,06:56,2023-11-04,3
CityC,CityI,12:05,2023-11-04,2
CityB,CityH,08:48,2023-11-04,2
CityC,CityF,00:14,2023-11-04,3
CityA,CityG,02:26,2023-11-04,2
CityD,CityF,00:49,2023-11-04,2
CityB,CityH,05:09,2023-11-04,3
CityE,CityJ,22:02,2023-11-05,2
CityA,CityH,10:02,2023-11-05,2
CityD,CityI,20:23,2023-11-05,3
CityB,CityI,02:58,2023-11-05,1
CityD,CityF,00:39,2023-11-05,3
CityA,CityH,08:49,2023-11-05,1
CityC,CityJ,06:06,2023-11-05,3
CityC,CityF,20:12,2023-11-05,2
CityB,CityF,06:53,2023-11-05,3
CityB,CityJ,01:55,2023-11-05,3
CityD,CityH,01:08,2023-11-05,2
CityC,CityI,00:47,2023-11-05,3
CityB,CityG,06:57,2023-11-05,2
CityC,CityJ,22:13,2023-11-06,2
CityD,CityG,01:59,2023-11-06,2
CityD,CityG,07:33,2023-11-06,3
CityC,CityI,08:16,2023-11-06,3
CityA,CityH,23:52,2023-11-06,1
CityC,CityI,07:50,2023-11-06,2
CityB,CityH,05:44,2023-11-06,1
CityE,CityH,14:43,2023-11-06,2
CityD,CityF,10:58,2023-11-06,1
CityE,CityJ,00:59,2023-11-06,1
CityE,CityH,01:19,2023-11-06,2
CityE,CityI,18:22,2023-11-07,2
CityB,CityJ,19:23,2023-11-07,3
CityC,CityF,15:18,2023-11-07,2
CityA,CityG,04:25,2023-11-07,1
CityB,CityF,13:11,2023-11-07,2
CityB,CityJ,23:23,2023-11-07,3
CityA,CityH,15:53,2023-11-07,1
CityA,CityH,18:30,2023-11-07,3
CityA,CityF,12:26,2023-11-07,3
CityC,CityF,05:35,2023-11-07,1
CityD,CityF,23:05,2023-11-07,1
CityA,CityF,15:39,2023-11-08,3
CityE,CityI,23:31,2023-11-08,2
CityA,CityH,21:53,2023-11-08,2
CityE,CityJ,19:31,2023-11-08,1
CityD,CityH,06:44,2023-11-08,2
CityB,CityG,02:08,2023-11-08,1
CityD,CityI,02:34,2023-11-08,2
CityE,CityI,04:46,2023-11-08,3
CityD,CityF,12:03,2023-11-08,1
CityE,CityF,08:50,2023-11-08,2
CityD,CityG,09:49,2023-11-08,3
CityC,CityH,19:58,2023-11-08,3
CityA,CityH,05:05,2023-11-08,3
CityA,CityF,15:37,2023-11-08,3
CityE,CityH,20:28,2023-11-09,2
CityD,CityH,10:15,2023-11-09,2
CityA,CityG,20:14,2023-11-09,3
CityC,CityF,10:22,2023-11-09,1
CityB,CityG,09:29,2023-11-09,3
CityD,CityI,17:08,2023-11-09,1
CityD,CityH,22:00,2023-11-09,2
CityD,CityF,08:16,2023-11-09,2
CityB,CityI,08:15,2023-11-09,2
CityB,CityH,19:12,2023-11-09,1
CityA,CityI,14:10,2023-11-09,2
CityE,CityG,03:09,2023-11-10,1
CityA,CityF,06:15,2023-11-10,2
CityA,CityJ,20:31,2023-11-10,2
CityD,CityJ,16:52,2023-11-10,2
CityD,CityI,09:15,2023-11-10,3
CityE,CityJ,08:37,2023-11-10,2
CityB,CityF,00:00,2023-11-11,2
CityA,CityG,17:06,2023-11-11,3
CityD,CityI,16:19,2023-11-11,3
CityB,CityJ,09:57,2023-11-11,1
CityD,CityG,04:17,2023-11-11,1
CityE,CityJ,04:24,2023-11-11,3
CityA,CityJ,05:34,2023-11-11,1
CityA,CityI,03:22,2023-11-11,1
CityD,CityG,04:51,2023-11-11,2
CityD,CityH,15:28,2023-11-11,1
CityA,CityJ,17:43,2023-11-11,2
CityC,CityG,10:42,2023-11-11,1
CityB,CityJ,04:18,2023-11-11,2
CityC,CityF,15:33,2023-11-11,1
CityB,CityF,23:36,2023-11-11,1
CityC,CityJ,06:03,2023-11-12,1
CityE,CityH,02:13,2023-11-12,3
CityD,CityF,22:46,2023-11-12,1
CityE,CityH,10:21,2023-11-12,1
CityA,CityI,12:34,2023-11-12,2
CityC,CityI,05:17,2023-11-12,2
CityB,CityI,09:46,2023-11-12,1
CityD,CityH,09:06,2023-11-12,3
CityC,CityF,14:28,2023-11-12,1
CityC,CityH,00:52,2023-11-12,2
CityC,CityH,02:44,2023-11-12,2
CityC,CityF,20:38,2023-11-12,3
CityE,CityI,16:33,2023-11-13,3
CityC,CityG,19:31,2023-11-13,2
CityD,CityJ,05:13,2023-11-13,3
CityE,CityJ,16:19,2023-11-13,2
CityB,CityG,19:26,2023-11-13,1
CityA,CityI,12:20,2023-11-13,2
CityE,CityI,07:28,2023-11-13,1
CityD,CityI,04:00,2023-11-13,1
CityC,CityG,04:44,2023-11-13,3
CityB,CityF,03:06,2023-11-13,3
CityA,CityH,04:53,2023-11-13,2
CityB,CityF,00:39,2023-11-13,3
CityD,CityG,09:19,2023-11-13,2
CityE,CityF,10:00,2023-11-13,2
CityC,CityJ,02:50,2023-11-13,3
CityC,CityH,00:29,2023-11-14,1
CityD,CityI,07:05,2023-11-14,1
CityD,CityH,22:18,2023-11-14,2
CityD,CityF,07:30,2023-11-14,3
CityC,CityI,20:48,2023-11-14,3
CityE,CityI,21:35,2023-11-14,2
CityA,CityI,05:03,2023-11-14,3
CityD,CityJ,23:19,2023-11-14,2
CityA,CityJ,23:49,2023-11-14,1
CityC,CityI,04:20,2023-11-15,3
CityB,CityJ,19:15,2023-11-15,3
CityB,CityH,12:46,2023-11-15,3
CityD,CityF,15:47,2023-11-15,3
CityC,CityJ,00:38,2023-11-15,1
CityA,CityJ,19:47,2023-11-15,2
CityB,CityH,19:07,2023-11-15,2
CityC,CityF,07:06,2023-11-15,3
CityB,CityF,16:20,2023-11-15,1
CityC,CityG,08:35,2023-11-16,2
CityE,CityF,22:44,2023-11-16,2
CityB,CityF,21:10,2023-11-16,3
CityB,CityJ,09:15,2023-11-16,1
CityD,CityJ,08:40,2023-11-16,3
CityD,CityF,12:19,2023-11-16,3
CityB,CityI,02:39,2023-11-16,3
CityA,CityI,23:48,2023-11-16,1
CityE,CityF,06:38,2023-11-16,2
CityB,CityJ,01:44,2023-11-17,1
CityB,CityI,16:07,2023-11-17,2
CityE,CityI,07:29,2023-11-17,2
CityB,CityH,21:15,2023-11-17,1
